Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
e2087a14-e3ec-d556-05a0-06956cbe5902,2007-04-03,,999-59-8852,S99965203,,Ms.,Eve68,Cristen212,Donnelly343,,,,white,nonhispanic,F,Marblehead  Massachusetts  US,814 Hoppe Wall Suite 47,Palmer,Massachusetts,Hampden County,25013,01095,42.2530584761527,-72.3451529323569,57934.77,0.00,123160
0932dc47-79f1-39c4-b60b-7ef33d23bec2,2016-11-17,,999-47-6417,,,,Miki234,Shandra823,Davis923,,,,white,nonhispanic,F,Dunstable  Massachusetts  US,334 Robel Heights Unit 19,Pittsfield,Massachusetts,Berkshire County,25003,01201,42.4237930878382,-73.31300826556091,1812.82,21266.58,1371
c53132d1-e22c-df16-3451-0de8b0244e69,1981-09-18,,999-41-6400,S99921597,X72834363X,Ms.,Tatum703,Amee396,Dietrich576,,,S,white,nonhispanic,F,Stoughton  Massachusetts  US,392 Kozey Boulevard,Danvers,Massachusetts,Essex County,25009,01937,42.62187728699848,-70.98175264537555,291411.70,503097.69,156004
632dd60e-2e30-cdea-9915-be3092d5b53f,1968-10-14,,999-97-2664,S99922027,X13469899X,Mrs.,Deidre679,Meggan475,O'Connell601,,Sipes176,W,white,nonhispanic,F,Norfolk  Massachusetts  US,815 Gutmann Boulevard,Dighton,Massachusetts,Bristol County,,00000,41.83359850956902,-71.14718417198247,512838.40,287825.94,102324
302bcf9d-f7fa-ab7c-d239-dd1197429942,2019-03-06,,999-86-8041,,,,Elton404,Neville893,Goldner995,,,,white,nonhispanic,M,Worcester  Massachusetts  US,593 Nitzsche Route,Blackstone,Massachusetts,Worcester County,,00000,42.02905378969989,-71.57758389879872,14338.47,680.31,41452
ec7884bc-9f69-1071-b564-21512fc6fa97,2020-04-22,,999-59-3369,,,,Dewayne363,,Dickinson688,,,,asian,hispanic,M,Malden  Massachusetts  US,838 Bogan Heights,Somerville,Massachusetts,Middlesex County,25017,02138,42.433453143738696,-71.09984605485616,1063.44,16561.70,23120
f006b99f-46a0-3c75-2cde-d9f8afef94b8,2007-08-21,,999-82-4986,S99925622,,,Jermaine675,Jordan900,Sauer652,,,,white,nonhispanic,M,Rockland  Massachusetts  US,711 Daniel Pathway Suite 82,Quincy,Massachusetts,Norfolk County,25021,02186,42.24392680442685,-71.02352814330943,77707.22,0.00,46842
c51cd95c-f24d-fb73-1108-7f83ae28b2c3,1962-03-31,,999-95-3841,S99921317,X54962094X,Mr.,Renaldo199,Zack583,Kerluke267,,,M,white,nonhispanic,M,Revere  Massachusetts  US,688 O'Hara Union Suite 66,Sandwich,Massachusetts,Barnstable County,25001,02563,41.72695192224988,-70.50051932092589,103100.06,178366.25,974343
a9cd9978-601f-5371-02b0-564fdda730e3,1974-10-30,2002-12-28,999-54-6564,S99975677,X79837214X,Ms.,Georgianna701,,Huels583,,,S,white,nonhispanic,F,Lowell  Massachusetts  US,149 Swaniawski Heights Suite 7,Springfield,Massachusetts,Hampden County,25013,01105,42.05182047782606,-72.44420440048815,13747.60,465635.82,1134
9eb8462c-823d-d62d-ff3f-0a9132eb2674,1951-01-22,,999-87-5773,S99939466,X55334045X,Mr.,Genaro214,Geraldo282,Bechtelar572,,,M,black,nonhispanic,M,Uxbridge  Massachusetts  US,993 Mayer Key Apt 68,Boston,Massachusetts,Suffolk County,25025,02136,42.358285938068356,-71.01109059702921,188554.73,138499.32,110603
284fac6f-4939-2cbb-23af-b1b7b9cc30f9,2002-01-08,,999-98-3233,S99933276,X50356251X,Ms.,Kiara978,Angelica442,Feeney44,,,,white,nonhispanic,F,Plymouth  Massachusetts  US,837 Hickle Boulevard,Lincoln,Massachusetts,Middlesex County,,00000,42.44747859673918,-71.32254882585073,9798.76,695784.52,20174
fd8c6924-a134-7e51-aa28-8a81460613a1,1974-10-30,,999-80-6883,S99987280,X79945701X,Mrs.,Autumn454,,Wunsch504,,Schuster709,W,white,nonhispanic,F,Wilmington  Massachusetts  US,1094 Abernathy Bypass,Springfield,Massachusetts,Hampden County,25013,01103,42.07757514479441,-72.54446038653809,21599.30,791095.03,1134
314c9c17-d003-834a-f956-b016f4fe5414,2009-12-04,,999-96-9923,,,,Karin721,,Legros616,,,,white,hispanic,F,Hingham  Massachusetts  US,184 Bosco Mall,Lowell,Massachusetts,Middlesex County,25017,01851,42.601263074302295,-71.32656076707124,57272.67,354189.25,37700
9c14009d-e2f6-382a-e830-84fab4080f00,1962-09-01,,999-69-5569,S99937125,X79784850X,Mr.,Rey54,,Wuckert783,,,S,white,nonhispanic,M,Randolph  Massachusetts  US,785 Kunze Approach Unit 78,Newton,Massachusetts,Middlesex County,25017,02461,42.287086704442956,-71.138704734966,190310.58,0.00,46969
5f3c5f2e-955d-ee67-51fc-e7aec18bbd2e,1963-10-24,,999-44-4149,S99913820,X47172170X,Mrs.,Mozella148,Kayleigh718,Pfannerstill264,,Shanahan202,M,white,nonhispanic,F,Boston  Massachusetts  US,634 Davis Parade Unit 76,Springfield,Massachusetts,Hampden County,25013,01013,42.149250383029916,-72.5624335159296,21173.66,1485794.23,7814
0a3ff99b-8333-b2f1-f58a-f8facc3c1427,1961-12-12,,999-53-8619,S99936606,X39743443X,Ms.,Alline927,Flor713,Wilderman619,MD,,S,white,hispanic,F,Amherst  Massachusetts  US,113 Feest Lane Unit 35,Easthampton,Massachusetts,Hampshire County,25015,01027,42.28449941719827,-72.62427250350207,92714.50,138253.20,23953
8aa1c757-1d5d-f380-bf50-fc3839ae8ce7,1956-04-07,,999-47-8982,S99989219,X15581119X,Mrs.,Aletha771,Shea825,Gorczany269,,Brakus656,D,white,nonhispanic,F,Marlborough  Massachusetts  US,961 Marquardt Road Apt 50,Taunton,Massachusetts,Bristol County,25005,02767,41.81890403984216,-70.98763178287861,699447.56,120921.59,80102
351ac034-de3c-1f2b-46a7-1730c92559e8,1974-07-11,,999-80-3108,S99986842,X7334966X,Mrs.,Sheila338,Chantel847,Raynor401,,Marks830,D,asian,nonhispanic,F,New Bedford  Massachusetts  US,369 Runolfsdottir Skyway,Walpole,Massachusetts,Norfolk County,25021,02081,42.14055500998662,-71.23336685488742,91346.51,1277025.13,99759
5258f671-2cca-f5c9-8426-f0489841eaa3,1954-11-23,,999-40-1391,S99925707,X8491310X,Mrs.,Trena506,Junita557,Spinka232,,Ziemann98,M,white,nonhispanic,F,Springfield  Massachusetts  US,783 Franecki Ferry Apt 85,Amherst,Massachusetts,Hampshire County,,00000,42.34949210314154,-72.4806406675729,318171.62,85473.28,110501
88d1d936-6df2-66a2-04ef-b5ed5a2feceb,1981-11-09,,999-80-3439,S99936797,X89704385X,Mrs.,Pamella8,Babara869,Bergstrom287,,Skiles927,M,white,nonhispanic,F,Shrewsbury  Massachusetts  US,697 Dach Vale Apt 88,Clinton,Massachusetts,Worcester County,25027,01510,42.44152609062065,-71.64314592310016,336659.96,406015.13,78657
b7218e3b-82f9-e491-f5b1-21da812a126b,2019-12-26,,999-28-3822,,,,Lyndon118,Jarvis643,Greenfelder433,,,,black,nonhispanic,M,Leominster  Massachusetts  US,678 Balistreri Estate,Boston,Massachusetts,Suffolk County,25025,02199,42.388631746283515,-71.09061908360565,15797.96,0.00,142326
